Unnamed: 0,movieId,popularidade,title,genres
0,356,329,Forrest Gump (1994),Comedy|Drama|Romance|War
1,318,317,"Shawshank Redemption, The (1994)",Crime|Drama
2,296,307,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
3,593,279,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
4,2571,278,"Matrix, The (1999)",Action|Sci-Fi|Thriller
5,260,251,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
6,480,238,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
7,110,237,Braveheart (1995),Action|Drama|War
8,589,224,Terminator 2: Judgment Day (1991),Action|Sci-Fi
9,527,220,Schindler's List (1993),Drama|War
10,2959,218,Fight Club (1999),Action|Crime|Drama|Thriller
11,1,215,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
12,1196,211,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
13,2858,204,American Beauty (1999),Drama|Romance
14,50,204,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
15,47,203,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
16,780,202,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
17,150,201,Apollo 13 (1995),Adventure|Drama|IMAX
18,1198,200,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
19,4993,198,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
20,1210,196,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
21,858,192,"Godfather, The (1972)",Crime|Drama
22,457,190,"Fugitive, The (1993)",Thriller
23,592,189,Batman (1989),Action|Crime|Thriller
24,5952,188,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy
25,2028,188,Saving Private Ryan (1998),Action|Drama|War
26,7153,185,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
27,588,183,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
28,608,181,Fargo (1996),Comedy|Crime|Drama|Thriller
29,2762,179,"Sixth Sense, The (1999)",Drama|Horror|Mystery
30,380,178,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
31,32,177,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,364,172,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
33,1270,171,Back to the Future (1985),Adventure|Comedy|Sci-Fi
34,377,171,Speed (1994),Action|Romance|Thriller
35,3578,170,Gladiator (2000),Action|Adventure|Drama
36,4306,170,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance
37,1580,165,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi
38,590,164,Dances with Wolves (1990),Adventure|Drama|Western
39,648,162,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
40,344,161,Ace Ventura: Pet Detective (1994),Comedy
41,4226,159,Memento (2000),Mystery|Thriller
42,367,157,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
43,58559,149,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
44,6539,149,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy
45,1214,146,Alien (1979),Horror|Sci-Fi
46,595,146,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
47,1036,145,Die Hard (1988),Action|Crime|Thriller
48,500,144,Mrs. Doubtfire (1993),Comedy|Drama
49,165,144,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
50,79132,143,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
51,1265,143,Groundhog Day (1993),Comedy|Fantasy|Romance
52,1197,142,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
53,6377,141,Finding Nemo (2003),Adventure|Animation|Children|Comedy
54,1704,141,Good Will Hunting (1997),Drama|Romance
55,316,140,Stargate (1994),Action|Adventure|Sci-Fi
56,2628,140,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi
57,1721,140,Titanic (1997),Drama|Romance
58,1291,140,Indiana Jones and the Last Crusade (1989),Action|Adventure
59,153,137,Batman Forever (1995),Action|Adventure|Comedy|Crime
60,1136,136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
61,597,135,Pretty Woman (1990),Comedy|Romance
62,1193,133,One Flew Over the Cuckoo's Nest (1975),Drama
63,293,133,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
64,231,133,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
65,3793,133,X-Men (2000),Action|Adventure|Sci-Fi
66,10,132,GoldenEye (1995),Action|Adventure|Thriller
67,4886,132,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy
68,6874,131,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller
69,1089,131,Reservoir Dogs (1992),Crime|Mystery|Thriller
70,1240,131,"Terminator, The (1984)",Action|Sci-Fi|Thriller
71,7361,131,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi
72,1221,129,"Godfather: Part II, The (1974)",Crime|Drama
73,2329,129,American History X (1998),Crime|Drama
74,34,128,Babe (1995),Children|Drama
75,1200,126,Aliens (1986),Action|Adventure|Horror|Sci-Fi
76,1213,126,Goodfellas (1990),Crime|Drama
77,1682,125,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi
78,8961,125,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy
79,541,124,Blade Runner (1982),Action|Sci-Fi|Thriller
80,736,123,Twister (1996),Action|Adventure|Romance|Thriller
81,4995,123,"Beautiful Mind, A (2001)",Drama|Romance
82,1097,122,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
83,5349,122,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller
84,2683,121,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy
85,733,121,"Rock, The (1996)",Action|Adventure|Thriller
86,2716,120,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi
87,5445,120,Minority Report (2002),Action|Crime|Mystery|Sci-Fi|Thriller
88,4973,120,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
89,1206,120,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller
90,4963,119,Ocean's Eleven (2001),Crime|Thriller
91,1073,119,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
92,33794,116,Batman Begins (2005),Action|Crime|IMAX
93,1527,116,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi
94,586,116,Home Alone (1990),Children|Comedy
95,5989,115,Catch Me If You Can (2002),Crime|Drama
96,587,115,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
97,208,115,Waterworld (1995),Action|Adventure|Sci-Fi
98,1968,113,"Breakfast Club, The (1985)",Comedy|Drama
99,185,112,"Net, The (1995)",Action|Crime|Thriller
100,5418,112,"Bourne Identity, The (2002)",Action|Mystery|Thriller
101,3147,111,"Green Mile, The (1999)",Crime|Drama
102,3996,110,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance
103,2,110,Jumanji (1995),Adventure|Children|Fantasy
104,349,110,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
105,7438,110,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller
106,253,109,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
107,1258,109,"Shining, The (1980)",Horror
108,2918,109,Ferris Bueller's Day Off (1986),Comedy
109,924,109,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
110,4878,109,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller
111,329,108,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
112,2115,108,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
113,4896,107,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
114,1208,107,Apocalypse Now (1979),Action|Drama|War
115,48516,107,"Departed, The (2006)",Crime|Drama|Thriller
116,1732,106,"Big Lebowski, The (1998)",Comedy|Crime
117,539,106,Sleepless in Seattle (1993),Comedy|Drama|Romance
118,68954,105,Up (2009),Adventure|Animation|Children|Drama
119,1923,105,There's Something About Mary (1998),Comedy|Romance
120,111,104,Taxi Driver (1976),Crime|Drama|Thriller
121,60069,104,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi
122,39,104,Clueless (1995),Comedy|Romance
123,223,104,Clerks (1994),Comedy
124,357,103,Four Weddings and a Funeral (1994),Comedy|Romance
125,2706,103,American Pie (1999),Comedy|Romance
126,161,103,Crimson Tide (1995),Drama|Thriller|War
127,6,102,Heat (1995),Action|Crime|Thriller
128,1222,102,Full Metal Jacket (1987),Drama|War
129,5816,102,Harry Potter and the Chamber of Secrets (2002),Adventure|Fantasy
130,778,102,Trainspotting (1996),Comedy|Crime|Drama
131,292,101,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
132,454,101,"Firm, The (1993)",Drama|Thriller
133,434,101,Cliffhanger (1993),Action|Adventure|Thriller
134,4022,100,Cast Away (2000),Drama
135,1517,100,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy
136,44191,100,V for Vendetta (2006),Action|Sci-Fi|Thriller|IMAX
137,912,100,Casablanca (1942),Drama|Romance
138,104,99,Happy Gilmore (1996),Comedy
139,2997,99,Being John Malkovich (1999),Comedy|Drama|Fantasy
140,339,98,While You Were Sleeping (1995),Comedy|Romance
141,72998,97,Avatar (2009),Action|Adventure|Sci-Fi|IMAX
142,3114,97,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy
143,750,97,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
144,2987,97,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery
145,1617,97,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
146,1784,96,As Good as It Gets (1997),Comedy|Drama|Romance
147,6365,96,"Matrix Reloaded, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX
148,1961,96,Rain Man (1988),Drama
149,3949,96,Requiem for a Dream (2000),Drama
150,2502,94,Office Space (1999),Comedy|Crime
151,4027,94,"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime
152,59315,94,Iron Man (2008),Action|Adventure|Sci-Fi
153,8368,93,Harry Potter and the Prisoner of Azkaban (2004),Adventure|Fantasy|IMAX
154,551,93,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
155,4011,93,Snatch (2000),Comedy|Crime|Thriller
156,2396,92,Shakespeare in Love (1998),Comedy|Drama|Romance
157,5378,92,Star Wars: Episode II - Attack of the Clones (2002),Action|Adventure|Sci-Fi|IMAX
158,288,92,Natural Born Killers (1994),Action|Crime|Thriller
159,8360,92,Shrek 2 (2004),Adventure|Animation|Children|Comedy|Musical|Romance
160,2355,92,"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy
161,919,92,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
162,1917,92,Armageddon (1998),Action|Romance|Sci-Fi|Thriller
163,2797,91,Big (1988),Comedy|Drama|Fantasy|Romance
164,1356,91,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller
165,2174,91,Beetlejuice (1988),Comedy|Fantasy
166,1259,91,Stand by Me (1986),Adventure|Drama
167,3948,91,Meet the Parents (2000),Comedy
168,1387,91,Jaws (1975),Action|Horror
169,1610,90,"Hunt for Red October, The (1990)",Action|Adventure|Thriller
170,48780,90,"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller
171,1080,89,Monty Python's Life of Brian (1979),Comedy
